noun,noun_class,count,percentage
channel,245,1,0.001
glass:water,10,1,0.001
piece:pork,144,1,0.001
plate:soap,2,1,0.001
plate:tomato,2,1,0.001
pack:sugar,26,1,0.001
plug:kettle,153,1,0.001
plug:rice:cooker,153,1,0.001
packaging:cream,26,1,0.001
butter:melted,78,1,0.001
plunger,50,1,0.001
pack:pizza,26,1,0.001
box:pitta:bread,23,1,0.001
package:almond:drink,26,1,0.001
package:avocado,26,1,0.001
pitta,33,1,0.001
package:green:bean,26,1,0.001
package:food,26,1,0.001
glass:wash,10,1,0.001
peeling:veggie,48,1,0.001
piece:shell,141,1,0.001
peeling:vegetable,48,1,0.001
piece:sponge,9,1,0.001
piece:spring:onion,128,1,0.001
box:sausage,23,1,0.001
package:cracker,26,1,0.001
piece:turkey,287,1,0.001
pin,136,1,0.001
food:frozen,34,1,0.001
package:carrot,26,1,0.001
box:salad,23,1,0.001
pit:peach,74,1,0.001
pit:pear,239,1,0.001
packaging:cookie,26,1,0.001
food:empty,34,1,0.001
flour:excess,75,1,0.001
bowl:milk,7,1,0.001
remainder,54,1,0.001
cake:rice,229,1,0.001
sharpness:knife,4,1,0.001
ground,59,1,0.001
sheath:thermometer,166,1,0.001
meat:fish,119,1,0.001
cup:flour,13,1,0.001
measurer:rice,10,1,0.001
shelf:oven,247,1,0.001
shelf:plated,247,1,0.001
container:cake,21,1,0.001
bottle:fallen:oil,15,1,0.001
meat:nasty,28,1,0.001
container:cheese,21,1,0.001
bottle:fabric:conditioner,15,1,0.001
container:coffee,21,1,0.001
mat:floor,84,1,0.001
masala:bean,121,1,0.001
door:washing:washing,124,1,0.001
shrimp:frozen,253,1,0.001
shut:bag,19,1,0.001
paddle:rice,1,1,0.001
compost,54,1,0.001
shape:cylinder,175,1,0.001
bottle:rice:vinegar,15,1,0.001
fish:open,119,1,0.001
scrap:pepper,19,1,0.001
collar:shirt,73,1,0.001
scrubber,9,1,0.001
compartment,8,1,0.001
bottle:olive:oil,15,1,0.001
seasoning,38,1,0.001
packaging:parmesan,26,1,0.001
microwave:inside,90,1,0.001
seed:coriander,122,1,0.001
seed:lemon,122,1,0.001
meat:stirring,28,1,0.001
fish:cooked,119,1,0.001
compartment:battery,233,1,0.001
galangal,148,1,0.001
mesh:steel,39,1,0.001
serviette,88,1,0.001
mesh:orange,19,1,0.001
component:drawer,8,1,0.001
shake,82,1,0.001
grocery,34,1,0.001
container:coffee:bean,21,1,0.001
side:clip,129,1,0.001
side:dough,25,1,0.001
hair,36,1,0.001
skin:spring:onion,48,1,0.001
container:empty,21,1,0.001
container:ground:coffee,21,1,0.001
lods,6,1,0.001
slice:banana,146,1,0.001
slice:bean:curd,81,1,0.001
filter:moka:pot,77,1,0.001
slice:bread:packaging,26,1,0.001
slice:bread:packet,26,1,0.001
filter:fill:water,66,1,0.001
side:fridge,12,1,0.001
board:chop,18,1,0.001
filter:coffee:maker,77,1,0.001
slice:ginger,131,1,0.001
packaging:plastic,26,1,0.001
slice:lasagne,45,1,0.001
can:kidney:bean,61,1,0.001
container:pod,21,1,0.001
slice:onion,16,1,0.001
pepper:salted:chilli,69,1,0.001
filter:more:water,66,1,0.001
board:drying,18,1,0.001
skin:outer,48,1,0.001
skin:orange,48,1,0.001
side:tuna,160,1,0.001
bottle:coke,15,1,0.001
bottle:bean:curd,15,1,0.001
booklet:recipe,140,1,0.001
mandolin,220,1,0.001
packaging:pasta,26,1,0.001
maker,50,1,0.001
skimmer,154,1,0.001
board:white,242,1,0.001
mail,49,1,0.001
filter:v60,77,1,0.001
filter:teapot,77,1,0.001
filter:tap:water,66,1,0.001
skin:egg,141,1,0.001
board:washing,18,1,0.001
machine:washer,124,1,0.001
skin:kiwi:bit,48,1,0.001
skin:leaf,48,1,0.001
guide:sharpening,212,1,0.001
milk:more,64,1,0.001
bottle:something,15,1,0.001
remainder:mixture,71,1,0.001
roll:foil,123,1,0.001
rind:cheese,48,1,0.001
clip:clip:top:jar,40,1,0.001
rind:peach,48,1,0.001
mug:water,13,1,0.001
rise,55,1,0.001
bowl:cherry,7,1,0.001
mug:rice,13,1,0.001
cabbage:cooked,224,1,0.001
clip:laundry,129,1,0.001
roll:foil:paper,123,1,0.001
green,94,1,0.001
cupboard:open,3,1,0.001
bowl:cereal,7,1,0.001
roll:sandwich,227,1,0.001
mozzarella:tomato:sauce,32,1,0.001
mozzarella:more,32,1,0.001
cup:water,13,1,0.001
display:oven,46,1,0.001
rubber,269,1,0.001
bowl:carrot,7,1,0.001
bowl:corn,7,1,0.001
rim,15,1,0.001
bottle:spice,15,1,0.001
clam,129,1,0.001
nose,292,1,0.001
noodle:convenient,155,1,0.001
bowl:meat,7,1,0.001
bowl:lettuce,7,1,0.001
flour:egg,71,1,0.001
bowl:lemon:zest,7,1,0.001
flour:dough,75,1,0.001
rest:broccoli,101,1,0.001
rest:garlic,51,1,0.001
rest:onion:slice,16,1,0.001
national,140,1,0.001
button:timer,111,1,0.001
rest:rice,55,1,0.001
bowl:fruit,7,1,0.001
net,19,1,0.001
rester:teabag,109,1,0.001
bowl:covered,7,1,0.001
cupboard:salt,6,1,0.001
rice:jasmine,55,1,0.001
rice:split,55,1,0.001
rubbish:grape,54,1,0.001
cup:tea,13,1,0.001
clock:microwave:oven,111,1,0.001
mitten:oven,60,1,0.001
bottom:aeropress,50,1,0.001
floor:kitchen,159,1,0.001
packaging:lettuce,26,1,0.001
sauce:spinker,47,1,0.001
mixture:chilli,71,1,0.001
grinder:cheese,96,1,0.001
cup:milk,13,1,0.001
clothe,17,1,0.001
flask:oil,15,1,0.001
mitt:kitchen,60,1,0.001
runner:table,17,1,0.001
flame:cooker,24,1,0.001
sausage:corn,86,1,0.001
mitt,60,1,0.001
coffee:mug,59,1,0.001
bottle:squash,15,1,0.001
scale:kitchen,108,1,0.001
packaging:mushroom,26,1,0.001
scales,108,1,0.001
coke,283,1,0.001
bottom:carrot,41,1,0.001
sauce:more,47,1,0.001
mixture:hand:blender,71,1,0.001
grind:coffee,50,1,0.001
bowl:big,7,1,0.001
boundary:cake:mould,35,1,0.001
cage,3,1,0.001
packaging:leek,26,1,0.001
sachet:open,26,1,0.001
sachet:sugar,26,1,0.001
clock:oven,111,1,0.001
clog,63,1,0.001
salad:more,68,1,0.001
bottom:sponge,9,1,0.001
sale,38,1,0.001
paste:tomato,148,1,0.001
mixture:pistachio,71,1,0.001
bottom:saucepan,5,1,0.001
salt:more,38,1,0.001
bottom:processor,147,1,0.001
bottom:pan,5,1,0.001
bottom:onion,16,1,0.001
sauce:bottle,15,1,0.001
packing:green:bean,26,1,0.001
