verb,noun,count,percentage
place-on,pancake,2,0.003
wrap,cheese,2,0.003
turn-over,fish,2,0.003
pick-up,peel:lemon,2,0.003
pick-up,cookie,2,0.003
wipe-off,choi:pak,2,0.003
pick-up,basket,2,0.003
turn,knife,2,0.003
move,skin:potato,2,0.003
open,package:parsley,2,0.003
pick-up,container:pepper,2,0.003
open,package:parmesan,2,0.003
move,bun:steamed,2,0.003
turn-on,washer,2,0.003
check-on,bread:pitta,2,0.003
pick,cup,2,0.003
place-in,scissors,2,0.003
pick-up,leaf:bay,2,0.003
throw,remains,2,0.003
wash,jug:measuring,2,0.003
pick-up,powder:cocoa,2,0.003
open,basket:waste,2,0.003
pick-up,powder:baking,2,0.003
upturn,bowl,2,0.003
move,sieve,2,0.003
pick-up,rack:knife,2,0.003
toss,trash,2,0.003
place-in,sink,2,0.003
move,flour,2,0.003
attach-to,clip,2,0.003
open,bin:recycling,2,0.003
wipe-into,piece:cucumber,2,0.003
open,packaging:meat,2,0.003
check,tortilla,2,0.003
pick,mug,2,0.003
adjust,pot,2,0.003
pick-up,spinner:salad,2,0.003
throw,sachet,2,0.003
unwrap,cube:stock,2,0.003
pick-up,container:spice,2,0.003
unwrap,onion,2,0.003
place-in,mint,2,0.003
mix,mayonnaise,2,0.003
move,filter,2,0.003
place-in,pepper:bell,2,0.003
throw,piece:onion,2,0.003
throw,piece:pepper,2,0.003
move,bundle,2,0.003
open,package:sausage,2,0.003
pick-up,control:remote,2,0.003
throw,piece:plastic,2,0.003
open,cube:gravy,2,0.003
move,slice:carrot,2,0.003
turn-over,ball:mozzarella,2,0.003
check,finger,2,0.003
turn-over,belly:pork,2,0.003
turn,lid,2,0.003
open,package:salad,2,0.003
move,slice:tofu,2,0.003
pick-up,knife:paring,2,0.003
wipe-off,board,2,0.003
wipe-off,blade,2,0.003
pick-up,cooker:water,2,0.003
open,packaging:cheese,2,0.003
check,doneness:meat,2,0.003
open,package:popcorn,2,0.003
throw,peeling:onion,2,0.003
mix,kale,2,0.003
throw,peel:lemon,2,0.003
unsheathe,knife,2,0.003
pick-up,cover:plastic,2,0.003
adjust,piece:broccoli,2,0.003
place-in,tortilla,2,0.003
move,egg,2,0.003
place-in,tupperware,2,0.003
pick-up,bag:sandwich,2,0.003
pick-up,cracker,2,0.003
adjust,fishcakes,2,0.003
wash,pot:moka,2,0.003
move,spoon:wooden,2,0.003
pick-up,jar:pesto:sauce,2,0.003
wipe-off,filter,2,0.003
tip-to,bowl,2,0.003
tip-over,pan,2,0.003
adjust,rice,2,0.003
wipe-off,floor,2,0.003
unscrew,lid,2,0.003
open,blind,2,0.003
touch,lid,2,0.003
pick-up,jar:jam,2,0.003
bake,potato:scoop,2,0.003
place-into,cheese,2,0.003
open,package:fajitas,2,0.003
pick-up,pot:tupperware,2,0.003
open,package:egg,2,0.003
check,timer:oven,2,0.003
use,knife,2,0.003
change,side,2,0.003
pick-up,ramekin:peanut,2,0.003
wipe-off,excess:water,2,0.003
mix,milk:coconut,2,0.003
place-in,teaspoon,2,0.003
pick-up,cover:processor,2,0.003
move,spice,2,0.003
pick-up,jar:thyme,2,0.003
pick-up,sock,2,0.003
mix,paste:spice,2,0.003
place-in,cupboard,2,0.003
wash,leaf:mint,2,0.003
pick-up,jar:tahini:sauce,2,0.003
cut,packet:chicken,1,0.001
adjust,potato,1,0.001
wash,filter,1,0.001
cut,package:quorn,1,0.001
wash,finger,1,0.001
slice,grass:lemon,1,0.001
slide,potato,1,0.001
cut,packaging:pizza:base,1,0.001
slide-from,garlic,1,0.001
slide-from,omelette,1,0.001
shake-with,spatula,1,0.001
slide-from,pepper,1,0.001
slide-from,piece:tomato,1,0.001
slice,omelette:egg,1,0.001
cut,sandwich,1,0.001
adjust,sandwich,1,0.001
slide-along,kettle,1,0.001
shake-out,sauce:black:bean,1,0.001
wash,mixer,1,0.001
cut,packaging:open:meat,1,0.001
wash,nozzle,1,0.001
cut,piece:aluminium:foil,1,0.001
adjust,lid:rice:cooker,1,0.001
slide,plate,1,0.001
slide-from,onion,1,0.001
cut,packaging:cheese,1,0.001
slide-from,half:cherry:tomato,1,0.001
slide,piece:cucumber,1,0.001
slice,container,1,0.001
adjust,top,1,0.001
shake-over,bottle:milk,1,0.001
cut,package:pizza,1,0.001
wash,floor,1,0.001
slide,tray:oven,1,0.001
adjust,leek,1,0.001
slice,lengthways:cheese,1,0.001
cut,packaging:salami,1,0.001
wash,oregano,1,0.001
cut,leaf:spinach,1,0.001
cut,package:parsley,1,0.001
adjust,pressure:water,1,0.001
adjust,towel,1,0.001
slice,mozzarella,1,0.001
adjust,level:water,1,0.001
wash,finger:lady,1,0.001
wash,egg,1,0.001
wash,packaging,1,0.001
wash,holder:coffee,1,0.001
shake-with,mesh,1,0.001
cut,package:parmesan,1,0.001
wash,drainer,1,0.001
slide-from,milk:condensed,1,0.001
slide-acros,pan,1,0.001
adjust,setting,1,0.001
slide-acros,paper:greaseproof,1,0.001
slice,lasagne,1,0.001
adjust,paper:greaseproof,1,0.001
cut,sachet:open,1,0.001
shovel-up,cucumber:sliced,1,0.001
wash,lid:pan,1,0.001
slice,piece:pepper,1,0.001
adjust,straw,1,0.001
slice-in,cucumber,1,0.001
slice-into,banana,1,0.001
cut,onion:new,1,0.001
skin-from,clove:garlic,1,0.001
adjust,piece:tofu,1,0.001
slice-into,carrot,1,0.001
wash,leaf:curry,1,0.001
shred,chicken,1,0.001
adjust,temperature:oven,1,0.001
cut,lime,1,0.001
slice-into,cucumber,1,0.001
cut,piece:tomato,1,0.001
slice-into,onion,1,0.001
slice,bottom:carrot,1,0.001
wash,ginger,1,0.001
adjust,meat,1,0.001
wash,leaf:basil,1,0.001
adjust,tap:water,1,0.001
shred,coriander,1,0.001
slice,omelette:rolled,1,0.001
slice,tomato:seventh,1,0.001
cut,pit,1,0.001
slice,tomato:fifth,1,0.001
cut,loaf,1,0.001
shut-off,water,1,0.001
adjust,temperature:hob,1,0.001
slice,tomato:fourth,1,0.001
cut,plastic,1,0.001
slice,tomato:second,1,0.001
sieve-with,salt,1,0.001
slice,tomato:sixth,1,0.001
slice-from,pith,1,0.001
wash,glove:rubber,1,0.001
adjust,phone,1,0.001
slice,tomato:third,1,0.001
slice-along,onion,1,0.001
cut,pineapple,1,0.001
wash,leaf:salad,1,0.001
adjust,packet:coriander,1,0.001
skin,onion,1,0.001
cut,noodle:instant,1,0.001
slice,bread:pitta,1,0.001
slice-off,bottom:onion,1,0.001
cut,prawn,1,0.001
cut,leaf:spring:onion,1,0.001
slice-to,carrot,1,0.001
adjust,position:tonic:water:bottle,1,0.001
cut,piece:garlic,1,0.001
slice-up,onion,1,0.001
cut,leek,1,0.001
wash,form,1,0.001
wash,lentil,1,0.001
slice-with,tomato:other,1,0.001
adjust,thermometer,1,0.001
slide,cake,1,0.001
shovel-up,coriander,1,0.001
cut,piece:cheese,1,0.001
slide,cylinder,1,0.001
slide,drawer,1,0.001
wash,food,1,0.001
slice,cheese:open,1,0.001
slice,onion:open,1,0.001
slide,nut:pine,1,0.001
slide,peel:onion,1,0.001
wash,handle:knife,1,0.001
wash,knife:bread,1,0.001
cut,sachet,1,0.001
slice,pack:pizza,1,0.001
slice,packet:cheese,1,0.001
wash,grinder,1,0.001
cut,rubbish,1,0.001
wash,guard:hand,1,0.001
adjust,stereo,1,0.001
slice,packet:open:tofu,1,0.001
adjust,plate,1,0.001
adjust,position:box,1,0.001
slice-off,top:onion,1,0.001
slice,packet:open:sausage,1,0.001
wash,lid:tupperware,1,0.001
slice-onto,butter,1,0.001
slice-through,meat,1,0.001
wash,liquid:cleaning,1,0.001
wash,maker:coffee,1,0.001
wash,knife:fork,1,0.001
adjust,mat:floor,1,0.001
wash,knife:chef,1,0.001
wash,masher,1,0.001
sheath,knife,1,0.001
cut,packaging:meat,1,0.001
chop,broccoli,1,0.001
slide-inside,tray,1,0.001
crumple-up,roll:kitchen,1,0.001
unseal,yoghurt,1,0.001
crumple,paper,1,0.001
unsheathe,thermometer,1,0.001
spread,butter:more,1,0.001
crumple,paper:foil,1,0.001
spray-on,oil,1,0.001
spray-down,surface:work,1,0.001
spray,spray:kitchen,1,0.001
untilt,saucepan,1,0.001
spray,counter,1,0.001
crumple-up,towel:tea,1,0.001
untwist,cap:olive:oil,1,0.001
untwist,cap:vinegar,1,0.001
unwrap,bowl,1,0.001
crush,box:egg,1,0.001
crush,can,1,0.001
unwrap,dishwasher,1,0.001
unwrap,lime,1,0.001
unscrew-from,lid,1,0.001
crumple,napkin,1,0.001
crumple,bag:mozzarella,1,0.001
unscrew-from,filter,1,0.001
unscrew,jar:herb,1,0.001
crumble,cube:stock,1,0.001
spread-in,meat,1,0.001
spread-in,bin:leftover:food,1,0.001
unscrew,knife,1,0.001
spread,tablecloth,1,0.001
spread,spice,1,0.001
spread,sauce,1,0.001
unscrew,lid:milk:bottle,1,0.001
spread,onion,1,0.001
unscrew,pot:mocha,1,0.001
crumple,bag,1,0.001
unscrew,sauce:jarred,1,0.001
spread,liquid:cleaning,1,0.001
spread,liquid,1,0.001
spread,leaf:basil,1,0.001
unscrew,top:milk:bottle,1,0.001
crush,cracker,1,0.001
crush,leaf,1,0.001
crumble,cover,1,0.001
use,water:tap,1,0.001
arrange,kiwi,1,0.001
spoon-into,chicken,1,0.001
spoon-in,pepper:bell,1,0.001
spoon-in,paste:nut,1,0.001
spoon-in,oat,1,0.001
use,spoon:wooden,1,0.001
use,toothpick,1,0.001
arrange,kettle,1,0.001
spoon-in,corn,1,0.001
unwrap,salad,1,0.001
use-to,spade,1,0.001
wait,cover,1,0.001
spoon,vegetable,1,0.001
wait,oil,1,0.001
wait,stock,1,0.001
cut,asparagus,1,0.001
arrange,jar,1,0.001
cut,bag:mesh,1,0.001
use,phone,1,0.001
arrange,meat,1,0.001
spoon-into,food,1,0.001
crush-in,pan,1,0.001
spray,alcohol,1,0.001
spoon-out,sauce:black:bean,1,0.001
unwrap,towel:kitchen,1,0.001
spoon-onto,vegetable,1,0.001
spoon-onto,rice,1,0.001
spoon-onto,food,1,0.001
spoon-onto,content:pan,1,0.001
unzip,backpack,1,0.001
crush,milk:soy,1,0.001
spoon-into,zest:lemon,1,0.001
crush,packaging,1,0.001
spoon-into,salad:cucumber,1,0.001
upturn,bowl:dough,1,0.001
upturn,dough,1,0.001
use,chopstick,1,0.001
spoon-into,mixture,1,0.001
spoon-into,milk:coconut,1,0.001
spread-into,tofu,1,0.001
unscrew,cap:sauce,1,0.001
wash,desk,1,0.001
sprinkle-on,olive,1,0.001
unlock,juicer,1,0.001
sprinkle-onto,onion,1,0.001
unlock-from,blender,1,0.001
arrange,piece:cucumber,1,0.001
unpack,vegetable,1,0.001
sprinkle-on,water,1,0.001
unplug,blender:hand,1,0.001
cover,saucepan:small,1,0.001
sprinkle-on,oil:olive,1,0.001
arrange,pepper:bell,1,0.001
sprinkle-on,oil,1,0.001
unplug,cord:power,1,0.001
sprinkle-on,herb:other,1,0.001
cover,sausage,1,0.001
sprinkle-into,oil,1,0.001
sprinkle,water,1,0.001
arrange,piece:carrot,1,0.001
cover,top,1,0.001
unlock,cover:processor,1,0.001
unlock,cover,1,0.001
arrange,plate,1,0.001
sprinkle-over,towel:tea,1,0.001
unfreeze,corn,1,0.001
squeeze,caper,1,0.001
squeeze,can,1,0.001
squeeze,butter,1,0.001
squeeze,bun:steamed,1,0.001
cover,milk,1,0.001
cover,pan:frying,1,0.001
cover,processor,1,0.001
unfreeze,water,1,0.001
squeeze,aeropress,1,0.001
squash,wrap,1,0.001
unfurl,cardigan,1,0.001
squash,garlic,1,0.001
cover,salad,1,0.001
cover,salt,1,0.001
unfurl,film:cling,1,0.001
unfurl,jean,1,0.001
cover,yoghurt,1,0.001
sprinkle,rosemary,1,0.001
unscrew,cap,1,0.001
spread-onto,butter:peanut,1,0.001
spread-with,potato,1,0.001
spread-over,salt,1,0.001
spread-out,oil,1,0.001
spread-out,dough,1,0.001
spread-out,book,1,0.001
spread-onto,onion,1,0.001
crack,egg:open,1,0.001
unroll-from,towel:kitchen,1,0.001
unscrew,bottle:milk,1,0.001
sprinkle,powder:coconut,1,0.001
crack-in,egg,1,0.001
spread-onto,basil,1,0.001
spread-on,rusk,1,0.001
spread-on,oil:olive,1,0.001
unscrew,bottle:oil,1,0.001
unscrew,bottle:water,1,0.001
unscrew,butter:peanut,1,0.001
crack-on,egg:open,1,0.001
arrange,mug,1,0.001
unroll,paper:baking,1,0.001
unroll,packet,1,0.001
unroll,foil,1,0.001
sprinkle,pesto,1,0.001
sprinkle,pepper,1,0.001
sprinkle,oregano,1,0.001
unravel,film:cling,1,0.001
unroll,bag,1,0.001
sprinkle,mozzarella:more,1,0.001
cover-with,bowl,1,0.001
cover-with,dish:oven,1,0.001
cover-with,plate,1,0.001
unroll,bag:flour,1,0.001
unroll,egg,1,0.001
sprinkle,flake:chilli,1,0.001
sprinkle,coriander,1,0.001
unroll,film,1,0.001
arrange,pan,1,0.001
crack,cube:ice,1,0.001
sprinkle,basil,1,0.001
wait-for,cooker,1,0.001
arrange,glass,1,0.001
wait-for,microwave,1,0.001
soak,plate,1,0.001
apply,foil,1,0.001
wash,clip,1,0.001
soak-in,cereal,1,0.001
soak,tupperware,1,0.001
wash,clip:bag,1,0.001
soak,spoon,1,0.001
cut,foil:kitchen,1,0.001
align,tofu,1,0.001
cut,fork,1,0.001
smooth-into,oil,1,0.001
soak,mould:cake,1,0.001
soak,knife,1,0.001
soak,grater:cheese,1,0.001
soak,glass,1,0.001
snip,packet,1,0.001
align,dough,1,0.001
sniff,glove:rubber,1,0.001
snap-in,breadstick,1,0.001
soap,bowl:salad,1,0.001
soap,carafe,1,0.001
cut,foil,1,0.001
wash,chopper:half:moon,1,0.001
spill,salmon,1,0.001
spill,rice,1,0.001
spill,onion,1,0.001
spay,detergent,1,0.001
wash,chicken,1,0.001
wash,chilli,1,0.001
sort,component:drawer,1,0.001
sort,coffee,1,0.001
soften,butter,1,0.001
soap-up,glass,1,0.001
wash,choi:pak,1,0.001
soap,tray:ice,1,0.001
soap,teaspoon,1,0.001
soap,spoon:wooden,1,0.001
soap,peeler:potato,1,0.001
cut,end:carrot,1,0.001
cut,end:cucumber,1,0.001
cut,gas,1,0.001
smell,yoghurt,1,0.001
arrange,fork,1,0.001
adjust-on,setting,1,0.001
wash,countertop,1,0.001
slide-onto,towel:tea,1,0.001
slide-onto,ring:onion,1,0.001
slide-onto,pizza,1,0.001
adjust-on,time,1,0.001
slide-onto,onion,1,0.001
slide-onto,dough,1,0.001
slide-on,knife,1,0.001
adjust-in,paper:baking,1,0.001
wash,container:food,1,0.001
slide-into,garlic,1,0.001
adjust-in,meat,1,0.001
slide-into,carton:egg,1,0.001
slide-into,bowl,1,0.001
adjust-in,clothes,1,0.001
adjust,tupperware,1,0.001
wash,curd:bean,1,0.001
cut,leaf:salad,1,0.001
slide-out,drawer:dishwasher,1,0.001
cut,ham,1,0.001
adjust-on,timer,1,0.001
smell,bottle:milk,1,0.001
smell,water,1,0.001
smell,tub,1,0.001
smell,tea,1,0.001
wash,coriander,1,0.001
smell,sauce:spicy:bean,1,0.001
wash,corn,1,0.001
smell,oil:sesame,1,0.001
smell,noodle,1,0.001
smell,mug,1,0.001
smell,hummus,1,0.001
smell,herb,1,0.001
smell,hand,1,0.001
smell,granola,1,0.001
smell,fraiche,1,0.001
smell,dough,1,0.001
smell,bun:steamed,1,0.001
smell,bun,1,0.001
spin,drum,1,0.001
split,bulb:garlic,1,0.001
split,choi:pak,1,0.001
cut,bread:pitta,1,0.001
spoon,mix:spice,1,0.001
walk-with,tupperware,1,0.001
cut,bowl:salad,1,0.001
wash,aeropress,1,0.001
spoon,honey,1,0.001
spoon,gochujang,1,0.001
wash,apple,1,0.001
wash,asparagus,1,0.001
arrange,bin,1,0.001
cut,curd:cheese,1,0.001
wash,bag,1,0.001
spoon,avocado,1,0.001
spoon,almond:canned,1,0.001
spoon,almond,1,0.001
wash,base:baking:tin,1,0.001
wash,basin,1,0.001
sponge,top:counter,1,0.001
arrange,bag:nut,1,0.001
cut,bit:chilli,1,0.001
walk-with,bowl,1,0.001
spoon,mixture:whole,1,0.001
spoon,nut,1,0.001
cut,bag:mozzarella,1,0.001
wait-for,pan,1,0.001
cut,bag:potato,1,0.001
arrange,cup,1,0.001
cut,bag:rice,1,0.001
cut,bag:tortilla:plastic,1,0.001
arrange,bread,1,0.001
spoon,powder,1,0.001
spoon,potato,1,0.001
cut,bagel,1,0.001
spoon,paste:red:pepper,1,0.001
walk,floor,1,0.001
spoon,paste,1,0.001
walk-around,kitchen,1,0.001
spoon,oregano,1,0.001
walk-into,kitchen,1,0.001
spoon,oil:fish,1,0.001
wash,berry,1,0.001
sponge,tongs,1,0.001
arrange,avocado,1,0.001
wash,box:plastic,1,0.001
sponge,cover:blender,1,0.001
cut,cover,1,0.001
sponge,can,1,0.001
sponge,bowl:food:processor,1,0.001
cut,croissant,1,0.001
wash,cabbage,1,0.001
cut,crust:bread,1,0.001
sponge,blender,1,0.001
wash,cafetiere,1,0.001
apply,oil:olive,1,0.001
sponge,blade:chopping,1,0.001
split-into,choi:pak,1,0.001
cut,cube:stock,1,0.001
apply,hummus:more,1,0.001
split,garlic,1,0.001
wash,carafe,1,0.001
wash,catcher:sink,1,0.001
sponge,cover:squeezer,1,0.001
wash,box:lunch,1,0.001
wash,blender,1,0.001
cut,container,1,0.001
wash,block:chopping,1,0.001
sponge,sink,1,0.001
sponge,pot,1,0.001
apply-to,oil:olive,1,0.001
sponge,piece:plastic,1,0.001
wash,board:draining,1,0.001
wash,bottom:spring:form,1,0.001
sponge,piece:hand:blender,1,0.001
sponge,piece:food:processor,1,0.001
apply-to,liquid:washing:up,1,0.001
cut,cheese:feta,1,0.001
wash,bowl:fruit,1,0.001
sponge,lid,1,0.001
cut,chunk:pear,1,0.001
sponge,infuser:tea,1,0.001
sponge,hob,1,0.001
cut,clove:garlic,1,0.001
shake-out,mat:place,1,0.001
shake,fork,1,0.001
shake-out,jug:measuring,1,0.001
wash,packet,1,0.001
drain,cheese,1,0.001
drain,choi:pak,1,0.001
add-in,salt,1,0.001
scour,spoon,1,0.001
wipe,tomato,1,0.001
wipe,top:clip,1,0.001
wipe,tub:starter,1,0.001
drain,coriander,1,0.001
drain,curd,1,0.001
scour,knife,1,0.001
scour,jug,1,0.001
add-in,chilli,1,0.001
drain,curd:cheese,1,0.001
drain,grater,1,0.001
wipe-around,sink,1,0.001
wipe-down,bowl:washing:up,1,0.001
add-in,cheese,1,0.001
scoop-with,yoghurt,1,0.001
wipe-down,pot,1,0.001
wipe-down,sauce:soy,1,0.001
drain,holder:filter,1,0.001
wipe,tile,1,0.001
scramble,egg,1,0.001
scrap-on,spatula,1,0.001
scrape,meat,1,0.001
dose,salt,1,0.001
scrape,remnant:salad,1,0.001
wipe,spoon:measuring,1,0.001
scrape,pea,1,0.001
scrape,mushroom,1,0.001
scrape,mixture:passata,1,0.001
scrape,mixture:egg,1,0.001
add-into,filter:more:water,1,0.001
scrape,milk:condensed,1,0.001
scrape,liquid,1,0.001
drain,broccoli:tenderstem,1,0.001
add-into,chicken,1,0.001
scrape,cup,1,0.001
scrape,cream,1,0.001
drain,board:chopping,1,0.001
scrape,cheese,1,0.001
scrape,carrot,1,0.001
add-in,soap,1,0.001
drain,broccoli,1,0.001
wipe,thermometer,1,0.001
wipe-down,side,1,0.001
scoop-up,rice,1,0.001
scoop-up,piece:food,1,0.001
drain,spaghetti,1,0.001
scoop-from,coffee,1,0.001
add-from,flour,1,0.001
scoop,yeast,1,0.001
wipe-off,bit:carrot,1,0.001
scoop,water,1,0.001
drain,salad,1,0.001
drain,sauce,1,0.001
scoop,tea,1,0.001
wipe-off,bit:food,1,0.001
scoop,starter,1,0.001
drain,package:mozzarella,1,0.001
scoop,saucepan,1,0.001
scoop,sauce:pesto,1,0.001
drain,squash,1,0.001
drain,sweetcorn,1,0.001
drain,tomato,1,0.001
wipe-off,board:chopping,1,0.001
wipe-off,board:cutting,1,0.001
scoop,pesto,1,0.001
scoop,patty,1,0.001
scoop-from,oil:olive,1,0.001
scoop-in,whey,1,0.001
wipe-down,sink,1,0.001
wipe-from,water,1,0.001
scoop-up,oatmeal,1,0.001
scoop-up,egg,1,0.001
scoop-up,chunk:pork:belly,1,0.001
scoop-out,vegetable,1,0.001
drain,mozzarella,1,0.001
scoop-out,rice,1,0.001
scoop-out,oatmeal,1,0.001
scoop-out,eggshell,1,0.001
wipe-down,surface:work,1,0.001
wipe-from,water:excess,1,0.001
scoop-into,coffee,1,0.001
scoop-out,curd,1,0.001
scoop-out,cream:milk,1,0.001
wipe-into,carrot,1,0.001
wipe-into,crumb,1,0.001
scoop-out,container:cream:cheese,1,0.001
scoop-out,cheese:cream,1,0.001
wipe-into,flour,1,0.001
scoop-into,nut,1,0.001
wipe-into,seed:pepper,1,0.001
scrape,rubbish,1,0.001
scrape,sauce,1,0.001
scrape,sink,1,0.001
scrape-off,food:burned,1,0.001
scrape-on,spatula,1,0.001
wipe,grater,1,0.001
scrape-off,sponge,1,0.001
scrape-off,soup,1,0.001
add-on,liquid:cleaning,1,0.001
scrape-off,piece:garlic,1,0.001
scrape-off,pan:frying,1,0.001
add-into,water:more,1,0.001
distribute,vegetable,1,0.001
wipe,instruction,1,0.001
scrape-onto,food,1,0.001
wipe,jar,1,0.001
distribute-in,omelette,1,0.001
wipe,kettle,1,0.001
scrape-off,butter:excess,1,0.001
add-into,water:hot,1,0.001
wipe,leaf:salad,1,0.001
scrape-off,belly:pork,1,0.001
scrape-into,zest:lemon,1,0.001
add-into,water:filtered,1,0.001
add-to,banana,1,0.001
scrape-onto,meat,1,0.001
scrape-into,stuff:chopping:board,1,0.001
scrape-out,saucepan,1,0.001
scrape-with,spoon,1,0.001
scrape-up,onion:remaining,1,0.001
wipe,dish,1,0.001
wipe,excess:water,1,0.001
scrape-up,food,1,0.001
scrape-up,cheese,1,0.001
scrape-out,zest:lemon,1,0.001
scrape-out,tuna,1,0.001
scrape-out,stock:leftover,1,0.001
scrape-out,rice,1,0.001
scrape-onto,rubbish,1,0.001
scrape-out,flour,1,0.001
scrape-out,egg,1,0.001
wipe,filter:aeropress,1,0.001
scrape-out,dough,1,0.001
scrape-out,cream,1,0.001
scrape-out,colander,1,0.001
distribute,pistachio,1,0.001
scrape-out,bowl:washing:up,1,0.001
scrape-onto,vegetable,1,0.001
scrape-into,tofu,1,0.001
scrape-into,spice,1,0.001
scrape,skin:fish,1,0.001
scrape-against,knife,1,0.001
wipe,side,1,0.001
wipe,side:clip,1,0.001
scrape-from,rice,1,0.001
scrape-from,mustard,1,0.001
scrape-from,butter,1,0.001
scrape-down,food,1,0.001
add-into,oil,1,0.001
scrape-around,curd:lemon,1,0.001
wipe,sink:kitchen,1,0.001
scrape,zest:lemon,1,0.001
scrape-in,mustard,1,0.001
scrape,wok,1,0.001
divide-into,onion,1,0.001
wipe,spatula,1,0.001
dose,coffee,1,0.001
wipe,sponge,1,0.001
scrape,skin:salmon,1,0.001
scrape,skin:onion,1,0.001
wipe,spoon,1,0.001
scrape,skin:garlic,1,0.001
scrape-in,curd:lemon,1,0.001
scrape-into,bit:hummus,1,0.001
wipe,microwave:inside,1,0.001
wipe,piece:cucumber,1,0.001
wipe,mitt:oven,1,0.001
add-into,sauce:soy,1,0.001
distribute-in,vegetable,1,0.001
scrape-into,remnant:salad,1,0.001
scrape-into,pork,1,0.001
scrape-into,piece:skin,1,0.001
scrape-into,piece:mushroom,1,0.001
add-into,salt,1,0.001
scrape-into,piece:garlic,1,0.001
scrape-into,meat,1,0.001
scrape-into,cheese,1,0.001
scrape-into,ingredient,1,0.001
wipe,rack,1,0.001
scrape-into,herb,1,0.001
add-into,oil:olive,1,0.001
wipe,salad,1,0.001
scrape-into,cube:stock,1,0.001
wipe,scissors,1,0.001
scrape-into,chorizo,1,0.001
scrape-into,chicken,1,0.001
scoop,paste:garlic,1,0.001
wipe-off,bowl,1,0.001
scoop,oil:olive,1,0.001
rip,wrap:plastic,1,0.001
wipe-with,cabinet,1,0.001
wipe-with,dough,1,0.001
drink,squash,1,0.001
rise-up,cooker,1,0.001
add,oil,1,0.001
rise,sponge,1,0.001
rise,cup,1,0.001
rip-with,meat:open,1,0.001
drink-from,cup,1,0.001
wipe-with,spoon,1,0.001
drink,glass:wine,1,0.001
wipe-with,surface,1,0.001
rip,roll:kitchen,1,0.001
wipe-with,water,1,0.001
wrap,bag:salad,1,0.001
rip,foil:transparent,1,0.001
wrap,butter:remaining,1,0.001
wrap,cake,1,0.001
rinse-under,scourer,1,0.001
rinse-under,filter,1,0.001
wipe-with,bowl:plate,1,0.001
drink,glass:other,1,0.001
wrap,foil,1,0.001
roll,shape:cylinder,1,0.001
wipe-onto,crumb,1,0.001
roll-in,ball:dough,1,0.001
roll-down,plastic,1,0.001
roll-down,film:cucumber,1,0.001
roll-around,dough,1,0.001
wipe-onto,oil,1,0.001
wipe-over,water,1,0.001
roll,tray:baking,1,0.001
roll,tortilla,1,0.001
roll,sachet:sugar,1,0.001
add,olive,1,0.001
roll,pin:rolling,1,0.001
wipe-up,coriander,1,0.001
roll,pin,1,0.001
roll,omelette,1,0.001
wipe-up,water,1,0.001
wipe-with,bottle:milk,1,0.001
roll,knife,1,0.001
wipe-with,bottom:pan,1,0.001
drink,beer:more,1,0.001
rinse-under,bottom:aeropress,1,0.001
rinse-out,tupperware,1,0.001
wipe-on,teaspoon,1,0.001
drop,broccoli,1,0.001
rinse-in,thigh:chicken,1,0.001
wrap-up,coffee,1,0.001
rinse-from,milk,1,0.001
wrap-with,finger,1,0.001
wrap-with,lime,1,0.001
drop,board:chopping,1,0.001
rinse,whisk,1,0.001
rinse,waste,1,0.001
drop,bowl:large,1,0.001
drop,brush,1,0.001
rinse-into,fruit,1,0.001
wrap-with,plate,1,0.001
rinse,tub:hummus,1,0.001
drop,bun,1,0.001
drop,cake:fish,1,0.001
rinse,towel:cleaning,1,0.001
drop,can,1,0.001
rinse,toothpick,1,0.001
add,cheese,1,0.001
rinse,tomato:cherry,1,0.001
wrap-up,bread:toast,1,0.001
drizzle-on,vinegar:balsamic,1,0.001
wrap,fork,1,0.001
rinse-on,fruit,1,0.001
add,garlic,1,0.001
rinse-out,strainer:sink,1,0.001
rinse-out,spoon:slotted,1,0.001
drizzle,sauce:soy,1,0.001
rinse-out,saucepan,1,0.001
wrap,omelette,1,0.001
rinse-on,tomato,1,0.001
add,flour,1,0.001
wrap,squash,1,0.001
wrap-around,aluminium,1,0.001
rinse-off,food,1,0.001
wrap-around,wire,1,0.001
rinse-off,rag,1,0.001
drizzle-into,oil:olive,1,0.001
rinse-off,plate,1,0.001
wrap-in,bowl,1,0.001
rinse-off,lid,1,0.001
wrap-over,pasta,1,0.001
rinse-off,leek,1,0.001
rinse-off,hand,1,0.001
wipe-on,towel:tea,1,0.001
roll-on,chopstick,1,0.001
wipe-off,bowl:processor,1,0.001
rub-into,oil,1,0.001
rub-with,pan,1,0.001
rub-with,board:chopping,1,0.001
rub-over,water,1,0.001
add,yoghurt,1,0.001
rub-onto,oil,1,0.001
wipe-off,dough,1,0.001
wipe-off,egg,1,0.001
rub-off,knife,1,0.001
rub-off,flour,1,0.001
drain-in,pasta,1,0.001
rummage-in,bag,1,0.001
rub-in,roll:kitchen,1,0.001
rub-in,ball:dough,1,0.001
rub-around,spatula,1,0.001
rub,sauce,1,0.001
rub,pan,1,0.001
rub,lid:jar,1,0.001
rub,knife,1,0.001
drain-into,pasta,1,0.001
rub,element:rice:cooker:heating,1,0.001
rubbish-in,bin:recycling,1,0.001
rummage-in,drawer:fridge,1,0.001
rotate-to,piece:fish,1,0.001
drain-from,liquid,1,0.001
